,sentence,category
0,При этом всегда получал качественные услуги.,Communication
2,Отвратительное отношение к клиентам.,Communication
4,"Всегда в любое время дня и ночи помогут, ответят, решат.",Communication
6,"Все время согласовывалось, всё делалось быстро.",Communication
8,Абсолютное бездействие и нежелание банка работать с клиентами.,Quality
10,"Ну почему я опять должен звонить и платить деньги за музыку плохого качества, которая мне не нужна?",Communication
12,"Получив карту ""Кредит в кармане"" и две бесплатных карты ""Банк в кармане"" был доволен.",Communication
14,"Хотим выразить огромную благодарность Екатерине В-вой, кредитному специалисту Альфа-банка за понимание, высокопрофессиональный подход и оперативную работу в сфере кредитования юридических лиц.",Communication
16,"Пользовался картой за границей - включая слипы, безотказно.",Quality
18,Впечатления были только хорошие и с каждым годом становились только лучше.,Communication
20,"Да и в целом более чем доволен банком: удивлен, что никогда не хамили по телефону (поклон Ситибанку); не достают рекламой (поклон Ситибанку); не обманывают по условиям (поклон Ситибанку) и много прочих ""не"".",Communication
22,"Говорят, что вы можете опротестовать операции, но я говорю, что операций таких нет в выписке, деньги просто пропали с баланса и стал ноль.",Communication
24,"Но к сожалению в банке отказали и не приняли документы, на что сказали:""Мы не можем вам дать официальный отказ, но принять документы тоже не можем, так как нет внутреннего распоряжения, когда будет неизвестно"".",Communication
26,"Тинькофф, вам настолько плевать на ваших потенциальных клиентов?",Communication
28,"Моя заблокированная карта была украдена, почему я пишу заявление на отключение, а мне подключают услуги к заблокированной карте???",Communication
30,"Всем, кто еще не передумал стать клиентом этого банка, рекомендую в нем себя вести тихо, не делать резких движений и не доставать мобильный телефон, а главное - не мешать работникам жить своей жизнью.",Quality
32,"На мой вопрос, могу ли я получить в любом другом отделении кредит, мне сказали, что это возможно ТОЛЬКО в офисе на Кожевнической 14, причем именно там меня ждёт ультранизкая процентная ставка и отличные условия.",Quality
34,"Работники компетентны в своей работе, с желанием помогают по любым вопросам.",Quality
36,Очень разочаровалась в обслуживании.,Quality
38,В 10.58 со мной уже здоровался крайне представительный мужчина в хорошем костюме.,Communication
40,"РФ, всегда довольна была обслуживанием.",Quality
42,"110 дней без процентов звучит неплохо, тем более все заполняется онлайн без походов в отделение и карту должен доставить курьер.",Quality
44,"Начну с того, что я пользовался и пользуюсь услугами многих известных банков, но ВТБ выделил для себя, и когда пришло время заняться бизнесом я выбрал именно ВТБ для открытия счёта, так как у него самый удобный банкинг и лучший прайс по ведению расчётного счёта.",Price
45,"Начну с того, что я пользовался и пользуюсь услугами многих известных банков, но ВТБ выделил для себя, и когда пришло время заняться бизнесом я выбрал именно ВТБ для открытия счёта, так как у него самый удобный банкинг и лучший прайс по ведению расчётного счёта.",Quality
46,"По московскому телефону вообще отказываются как то комментировать ложную информацию в личном кабинете на сайте, разговаривают на очень повышенных тонах и с большой претензией, как будто я им что-то должна!",Communication
48,"В отделение на Павелецкой девушка сообщила, что карту РЖД Бонус Классическая НЕЛЬЗЯ открыть как основную, можно открыть только как дополнительную и она будет в любом случае платная, независимо от того, совершу я оборот более 15 000 рублей или нет.",Communication
50,"Муж - умер, в страховке отказали, и ещё с дипозита удержал 90000₽!",Price
52,"На мою просьбу самостоятельно посмотреть / обзвонить / расспросить наличие моментальных карт - смотрят на меня как на дурака и на лице отчетливо читается фраза - ""Ты что, дурак?",Communication
